Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw,Altitude
1741962936.54,0.096,0.118,0.122,0.527,1.456,-1.142,-79.09,-124.47,39.08,-0.10
1741962936.56,0.546,0.178,0.459,0.119,3.431,-0.865,-78.19,-116.01,44.70,-0.10
1741962936.58,0.545,0.084,0.057,-0.839,2.393,0.033,-77.56,-113.88,43.58,-0.10
1741962936.60,0.239,-0.104,-0.177,-0.953,1.077,0.940,-77.63,-117.42,37.93,-0.10
1741962936.62,-0.093,-0.051,-0.194,-0.225,1.187,1.015,-78.31,-122.01,32.12,-0.10
1741962936.64,-0.195,0.234,-0.089,0.057,1.541,0.312,-78.98,-122.58,29.86,-0.10
1741962936.66,-0.072,0.287,-0.142,0.090,0.862,-0.174,-79.01,-121.01,30.08,-0.10
1741962936.68,0.134,0.273,-0.049,0.422,0.972,-0.032,-79.03,-118.37,31.83,-0.10
1741962936.70,0.265,0.328,0.045,0.626,1.839,0.279,-79.40,-114.17,34.49,-0.10
1741962936.73,0.319,0.237,-0.092,0.539,1.659,0.570,-80.15,-109.51,37.04,-0.20
1741962936.74,0.208,-0.086,-0.224,0.531,0.275,0.799,-81.03,-106.24,39.16,-0.20
1741962936.76,-0.102,-0.062,-0.212,0.886,-1.248,1.183,-82.36,-103.86,42.21,-0.20
1741962936.78,-0.237,-0.149,-0.125,1.231,-2.376,1.349,-84.04,-98.11,50.13,-0.20
1741962936.80,-0.209,-0.379,0.121,1.408,-2.256,1.160,-85.59,-84.57,66.55,-0.20
1741962936.82,-0.096,-0.323,0.315,1.226,-0.834,0.188,-85.89,-62.56,90.34,-0.20
1741962936.84,0.191,-0.168,0.187,0.779,-0.022,0.283,-85.37,-49.83,103.60,-0.20
1741962936.86,0.178,0.081,0.054,0.654,0.454,0.990,-85.30,-36.19,116.98,-0.20
1741962936.88,-0.090,0.004,-0.166,0.554,-0.212,1.209,-85.24,-17.51,135.48,-0.20
1741962936.90,-0.506,0.145,-0.124,0.399,-0.633,0.362,-84.92,-5.71,147.94,-0.20
1741962936.92,-0.521,0.230,-0.202,0.644,-1.020,-1.295,-84.28,-10.88,143.65,-0.20
1741962936.94,-0.182,0.403,-0.324,1.667,-1.512,-1.644,-82.51,-24.67,131.31,-0.20
1741962936.96,0.108,0.471,-0.096,1.962,-0.496,-0.672,-79.93,-27.06,130.26,-0.20
1741962936.98,0.187,0.498,0.052,1.275,0.616,-0.371,-78.05,-25.54,131.69,-0.20
1741962937.00,0.358,0.171,0.181,1.238,1.982,0.467,-76.71,-21.74,134.17,-0.20
1741962937.02,0.178,-0.260,0.152,0.724,2.811,1.429,-75.96,-12.63,140.65,-0.20
1741962937.04,-0.241,-0.052,0.135,0.263,2.233,0.324,-75.61,-4.87,145.51,-0.20
1741962937.06,0.104,-0.014,0.092,0.074,0.353,0.059,-75.43,-3.14,145.80,-0.20
1741962937.08,0.282,-0.045,0.091,-0.212,-1.239,0.465,-75.52,-2.55,147.06,-0.20
1741962937.10,0.141,-0.110,0.264,-0.470,-2.215,0.459,-75.93,-2.34,149.37,-0.20
1741962937.12,0.159,-0.199,0.582,-0.687,-1.722,0.245,-76.62,-3.38,150.83,-0.20
1741962937.14,0.128,-0.250,0.556,-0.688,-1.050,0.354,-77.42,-3.91,151.85,-0.20
1741962937.16,-0.120,-1.038,0.381,-1.023,-1.478,1.585,-78.41,0.31,157.65,-0.20
1741962937.18,-0.421,-0.794,0.309,-1.682,-1.811,0.507,-79.85,5.36,164.68,-0.20
1741962937.20,-0.493,-0.562,0.038,-2.388,-3.413,-0.717,-82.20,2.33,164.61,-0.20
1741962937.22,-0.395,-0.253,-0.096,-2.758,-5.115,-1.204,-85.08,-16.25,150.97,-0.20
1741962937.24,-0.220,0.057,-0.360,-2.386,-5.100,-0.993,-86.64,-63.41,109.87,-0.20
1741962937.26,-0.062,0.422,-0.345,-1.752,-2.538,-0.758,-85.86,-105.25,72.47,-0.20
1741962937.28,-0.082,0.705,-0.064,-1.434,-0.499,-0.700,-84.33,-122.65,56.70,-0.20
1741962937.30,-0.024,0.635,-0.179,-0.597,-0.218,0.023,-83.38,-129.33,50.32,-0.20
